age;job;marital;education;default;balance;housing;loan;y
[29 - 35];unemployed;married;primary;no;[1001 - 5000];no;no;no
[29 - 35];services;married;secondary;no;[1001 - 5000];yes;yes;no
[29 - 35];management;single;tertiary;no;[1001 - 5000];yes;no;no
[29 - 35];management;married;tertiary;no;[1001 - 5000];yes;yes;no
[46 - 60];blue-collar;married;secondary;no;[0 - 1000];yes;no;no
[29 - 35];management;single;tertiary;no;[0 - 1000];no;no;no
[36 - 45];self-employed;married;tertiary;no;[0 - 1000];yes;no;no
[36 - 45];technician;married;secondary;no;[0 - 1000];yes;no;no
[36 - 45];entrepreneur;married;tertiary;no;[0 - 1000];yes;no;no
[36 - 45];services;married;primary;no;- 0;yes;yes;no
[36 - 45];services;married;secondary;no;[5001 - 10000];yes;no;no
[36 - 45];admin.;married;secondary;no;[0 - 1000];yes;no;no
[36 - 45];technician;married;tertiary;no;[1001 - 5000];no;no;no
[20 - 28];student;single;secondary;no;[0 - 1000];no;no;yes
[29 - 35];blue-collar;married;secondary;no;[0 - 1000];yes;yes;no
[36 - 45];management;married;tertiary;no;[0 - 1000];no;yes;no
[46 - 60];technician;married;secondary;no;[1001 - 5000];no;no;no
[36 - 45];admin.;single;tertiary;no;[1001 - 5000];yes;no;no
[20 - 28];blue-collar;single;primary;no;- 0;yes;no;no
[29 - 35];services;married;secondary;no;[0 - 1000];no;no;no
[36 - 45];management;divorced;unknown;no;[0 - 1000];yes;no;no
[36 - 45];management;divorced;tertiary;no;[0 - 1000];no;no;no
[36 - 45];services;single;secondary;no;[0 - 1000];no;no;no
[36 - 45];entrepreneur;married;secondary;no;[0 - 1000];no;no;no
[20 - 28];housemaid;married;tertiary;no;[0 - 1000];no;no;no
[36 - 45];management;married;tertiary;no;[5001 - 10000];no;no;no
[46 - 60];blue-collar;married;primary;no;[0 - 1000];yes;no;no
60 +;retired;married;unknown;no;[0 - 1000];no;no;no
[46 - 60];self-employed;married;secondary;no;[0 - 1000];no;yes;no
[46 - 60];admin.;married;secondary;no;[0 - 1000];no;yes;no
60 +;retired;divorced;secondary;no;[1001 - 5000];no;no;yes
[29 - 35];technician;married;secondary;no;[0 - 1000];no;no;no
[46 - 60];management;married;secondary;no;[0 - 1000];no;no;no
[29 - 35];management;single;tertiary;no;[1001 - 5000];yes;no;yes
[46 - 60];technician;married;tertiary;no;[1001 - 5000];no;no;yes
[36 - 45];admin.;divorced;secondary;no;[1001 - 5000];yes;no;no
60 +;retired;divorced;primary;no;[0 - 1000];no;no;yes
[29 - 35];blue-collar;married;secondary;no;[1001 - 5000];yes;no;yes
[29 - 35];management;married;secondary;no;[1001 - 5000];yes;no;yes
[20 - 28];services;single;tertiary;no;[0 - 1000];yes;no;no
[36 - 45];management;single;tertiary;no;[10001 - 20000];yes;no;no
[36 - 45];management;single;tertiary;no;[0 - 1000];no;no;no
[46 - 60];blue-collar;married;secondary;no;[1001 - 5000];yes;no;no
[29 - 35];technician;married;tertiary;no;[0 - 1000];yes;no;no
[29 - 35];technician;single;tertiary;no;[1001 - 5000];yes;no;no
[29 - 35];management;single;tertiary;no;[0 - 1000];yes;no;no
[46 - 60];blue-collar;married;primary;no;[0 - 1000];no;no;no
[20 - 28];blue-collar;married;primary;no;[0 - 1000];yes;no;no
[29 - 35];entrepreneur;single;primary;yes;- 0;yes;yes;no
60 +;admin.;married;unknown;no;[1001 - 5000];yes;no;yes
[36 - 45];blue-collar;divorced;primary;no;[0 - 1000];no;no;yes
[36 - 45];technician;single;secondary;no;[0 - 1000];yes;no;no
[36 - 45];technician;single;secondary;no;[0 - 1000];no;no;no
[29 - 35];technician;married;tertiary;no;[1001 - 5000];yes;no;yes
[46 - 60];blue-collar;married;secondary;no;[1001 - 5000];yes;no;no
[46 - 60];admin.;married;secondary;no;[1001 - 5000];yes;no;no
[46 - 60];management;married;secondary;no;[0 - 1000];no;yes;no
[29 - 35];self-employed;single;tertiary;no;[1001 - 5000];no;no;no
[36 - 45];retired;single;secondary;no;[0 - 1000];yes;yes;no
[46 - 60];technician;divorced;secondary;no;[0 - 1000];yes;yes;no
[36 - 45];blue-collar;married;primary;no;- 0;no;yes;no
60 +;retired;married;secondary;no;[0 - 1000];yes;no;no
[46 - 60];management;married;tertiary;no;[5001 - 10000];no;no;no
[46 - 60];services;married;secondary;no;[1001 - 5000];no;no;no
[46 - 60];admin.;married;secondary;no;[10001 - 20000];no;no;no
[46 - 60];blue-collar;divorced;secondary;no;[0 - 1000];yes;no;no
[29 - 35];services;married;secondary;no;[0 - 1000];yes;no;no
[29 - 35];technician;married;secondary;no;[0 - 1000];yes;no;no
[36 - 45];management;married;secondary;no;[0 - 1000];no;yes;no
[29 - 35];technician;single;tertiary;no;[0 - 1000];no;no;no
[36 - 45];management;married;tertiary;no;[0 - 1000];no;no;yes
[36 - 45];entrepreneur;divorced;tertiary;yes;[0 - 1000];yes;no;no
[29 - 35];management;single;tertiary;no;[5001 - 10000];yes;no;no
[36 - 45];services;married;tertiary;no;[0 - 1000];yes;no;no
[46 - 60];retired;married;secondary;no;[0 - 1000];yes;no;no
[46 - 60];management;divorced;tertiary;no;[1001 - 5000];no;no;no
